"","dose_rate"
"1",0.0999917984008789
"2",0.0991687700152397
"3",0.1031598970294
"4",0.10655403137207
"5",0.101223960518837
"6",0.0987815782427788
"7",0.0957965925335884
"8",0.0974645689129829
"9",0.0998554304242134
"10",0.0950851440429688
"11",0.092799186706543
"12",0.0919323042035103
"13",0.0933857038617134
"14",0.0913171768188477
"15",0.0956172868609428
"16",0.0954685211181641
"17",0.0931854248046875
"18",0.094629280269146
"19",0.0946817472577095
"20",0.0929489135742188
"21",0.0928678438067436
"22",0.0931568145751953
"23",0.0946121141314506
"24",0.0959768369793892
"25",0.0945997312664986
"26",0.0952892377972603
"27",0.0952310487627983
"28",0.0919818803668022
"29",0.0938901826739311
"30",0.0968532562255859
"31",0.0962610244750977
"32",0.0960683822631836
"33",0.0988769605755806
"34",0.0993566513061523
"35",0.0996513441205025
"36",0.0995483323931694
"37",0.101612091064453
"38",0.101757042109966
"39",0.0988998338580132
"40",0.100996971130371
"41",0.10345746576786
"42",0.102568633854389
"43",0.10401726514101
"44",0.101637847721577
"45",0.103776939213276
"46",0.10353945940733
"47",0.103610999882221
"48",0.103859908878803
"49",0.101531982421875
"50",0.102779373526573
"51",0.103879913687706
"52",0.104162223637104
"53",0.102722175419331
"54",0.104816436767578
"55",0.103984832763672
"56",0.10394287109375
"57",0.103671066462994
"58",0.105905532836914
"59",0.104494087398052
"60",0.106659896671772
"61",0.103934295475483
"62",0.104165077209473
"63",0.103240013122559
"64",0.103386864066124
"65",0.100960738956928
"66",0.103291518986225
"67",0.104745864868164
"68",0.102090835571289
"69",0.103330604732037
"70",0.104284279048443
"71",0.104523666203022
"72",0.103325851261616
"73",0.102507591247559
"74",0.104213714599609
"75",0.101277358829975
"76",0.102962486445904
"77",0.105237014591694
"78",0.103575706481934
"79",0.10346794873476
"80",0.104146003723145
"81",0.105195999145508
"82",0.103670127689838
"83",0.105608932673931
"84",0.10579489171505
"85",0.105778701603413
"86",0.103896141052246
"87",0.104619026184082
"88",0.102023117244244
"89",0.102776534855366
"90",0.104180328547955
"91",0.105725303292275
"92",0.10371208190918
"93",0.106329917907715
"94",0.104872703552246
"95",0.104055412113667
"96",0.104366309940815
"97",0.105282790958881
"98",0.107369415462017
"99",0.10273265838623
"100",0.104619972407818
"101",0.105088233947754
"102",0.104414939880371
"103",0.10555362701416
"104",0.105914115905762
"105",0.104790680110455
"106",0.106847755610943
"107",0.106447212398052
"108",0.106645576655865
"109",0.104685768485069
"110",0.107468605041504
"111",0.106478683650494
"112",0.104756355285645
"113",0.105919852852821
"114",0.106379516422749
"115",0.10624885559082
"116",0.106886863708496
"117",0.107200622558594
"118",0.107310302555561
"119",0.107124336063862
"120",0.107619300484657
"121",0.104973793029785
"122",0.105546958744526
"123",0.106984131038189
"124",0.105216018855572
"125",0.106399536132812
"126",0.107185363769531
"127",0.106812477111816
"128",0.107331283390522
"129",0.108060836791992
"130",0.109340667724609
"131",0.107132911682129
"132",0.108666427433491
"133",0.106951713562012
"134",0.11055088788271
"135",0.108693115413189
"136",0.108810417354107
"137",0.109249129891396
"138",0.108534812927246
"139",0.10899543762207
"140",0.109758384525776
"141",0.108230598270893
"142",0.111720077693462
"143",0.106655113399029
"144",0.111188888549805
"145",0.109192855656147
"146",0.109063155949116
"147",0.106534957885742
"148",0.108396537601948
"149",0.108130440115929
"150",0.108993537724018
"151",0.109881393611431
"152",0.109786048531532
"153",0.110208511352539
"154",0.109333030879498
"155",0.107695579528809
"156",0.112875945866108
"157",0.110809333622456
"158",0.107366554439068
"159",0.108220092952251
"160",0.107797615230083
"161",0.108643524348736
"162",0.108838073909283
"163",0.109822280704975
"164",0.110077865421772
"165",0.108857147395611
"166",0.109623908996582
"167",0.11149501055479
"168",0.111472129821777
"169",0.111266136169434
"170",0.109643928706646
"171",0.111700043082237
"172",0.110746398568153
"173",0.110474586486816
"174",0.111696235835552
"175",0.113867752254009
"176",0.113227851688862
"177",0.113588333129883
"178",0.111382491886616
"179",0.112217888236046
"180",0.112530715763569
"181",0.110176093876362
"182",0.110092170536518
"183",0.109655380249023
"184",0.110452644526958
"185",0.110855102539062
"186",0.112905502319336
"187",0.109871856868267
"188",0.11180304735899
"189",0.109876625239849
"190",0.111458785831928
"191",0.110765464603901
"192",0.110675811767578
"193",0.114433288574219
"194",0.11106301099062
"195",0.112860687077045
"196",0.111618980765343
"197",0.111440666019917
"198",0.110989578068256
"199",0.112220756709576
"200",0.111999519169331
"201",0.113177306950092
"202",0.114409446716309
"203",0.123127937316895
"204",0.111172690987587
"205",0.111473083496094
"206",0.108945839107037
"207",0.110758781433105
"208",0.111358650028706
"209",0.111270911991596
"210",0.110041625797749
